name,country
Franziska Brandmann,Germany
Ursula Braun-Moser,Germany
Karolin Braunsberger-Reinhold,Germany
Silvia Breher,Germany
Elke Breitenbach,Germany
Sylvia Bretschneider,Germany
Kristin Brinker,Germany
Charlotte Britz,Germany
Monika Brudlewsky,Germany
Agnieszka Brugger,Germany
Monika Brüning,Germany
Angelika Brunkhorst,Germany
Sandra Bubendorfer-Licht,Germany
Christine Buchholz,Germany
Katrin Budde,Germany
Birke Bull-Bischoff,Germany
Eva Bulling-Schröter,Germany
Edelgard Bulmahn,Germany
Martina Bunge,Germany
Clara Bünger,Germany
Ulla Burchardt,Germany
Astrid-Sabine Busse,Germany
Verena Butalikakis,Germany
Heike Hänsel,Germany
Mariana Harder-Kühnel,Germany
Monika Harms,Germany
Anke Hartnagel,Germany
Ulrike Harzer,Germany
Gerda Hasselfeldt,Germany
Barbara Havliza,Germany
Mechthild Heil,Germany
Frauke Heiligenstadt,Germany
Rosemarie Hein,Germany
Gabriele Heinen-Kljajic,Germany
Monika Heinold,Germany
Gabriela Heinrich,Germany
Sarah-Lee Heinrich,Germany
Kirsten Heisig,Germany
Linda Heitmann,Germany
Katrin Helling-Plahr,Germany
Ursula Helmhold,Germany
Barbara Hendricks (politician),Germany
Kathrin Henneberger,Germany
Susanne Hennig-Wellsow,Germany
Anke Hennig,Germany
Kristina Herbst,Germany
Bettina Herlitzius,Germany
Pierrette Herzberger-Fofana,Germany
Nadine Heselhaus,Germany
Katja Hessel,Germany
Dora Heyenn,Germany
Susanne Hierl,Germany
Angelika Hießerich-Peter,Germany
Regine Hildebrandt,Germany
Nicole Höchst,Germany
Elke Hoff,Germany
Magdalene Hoff,Germany
Bettina Hoffmann (politician),Germany
Inge Höger,Germany
Eva Högl,Germany
Bärbel Höhn,Germany
Franziska Hoppermann,Germany
Jasmina Hostert,Germany
Stefanie Hubig,Germany
Anette Hübinger,Germany
Katja Husen,Germany
Gerrit Huy,Germany
Ulla Ihnen,Germany
Antje Jansen,Germany
Bettina Jarasch,Germany
Ulla Jelpke,Germany
Gyde Jensen,Germany
Sabine Jünger,Germany
Ann-Veruschka Jurisch,Germany
Elisabeth Kaiser,Germany
Dilek Kalayci,Germany
Annkathrin Kammeyer,Germany
Antje Kapek,Germany
Susanna Karawanskij,Germany
Anja Karliczek,Germany
Anna Kassautzki,Germany
Kerstin Kassner,Germany
Gabriele Katzmarek,Germany
Ronja Kemmer,Germany
Katja Keul,Germany
Misbah Khan (politician),Germany
Kaya Kinkel,Germany
Katja Kipping,Germany
Cansel Kiziltepe,Germany
Birgit Klaubert,Germany
Maria Klein-Schmeink,Germany
Ottilie Klein,Germany
Julia Klöckner,Germany
Annika Klose,Germany
Sibyll-Anka Klotz,Germany
Daniela Kluckert,Germany
Heidi Knake-Werner,Germany
Charlotte Knobloch,Germany
Josefine Koebe,Germany
Bärbel Kofler,Germany
Natascha Kohnen,Germany
Daniela Kolbe,Germany
Anne König,Germany
Gabriela König,Germany
Carina Konrad,Germany
Chantal Kopf,Germany
Elvan Korkmaz,Germany
Ina Korter,Germany
Simona Koß,Germany
Sylvia Kotting-Uhl,Germany
Kordula Kovac,Germany
Hannelore Kraft,Germany
Laura Kraft,Germany
Anette Kramme,Germany
Annegret Kramp-Karrenbauer,Germany
Lena Kreck,Germany
Dunja Kreiser,Germany
Jutta Krellmann,Germany
Eva-Maria Kröger,Germany
Agnes Krumwiede,Germany
Bettina Kudla,Germany
Elisabeth Kula,Germany
Renate Künast,Germany
Sabine Kunst,Germany
Sarah Lahrkamp,Germany
Christine Lambrecht,Germany
Katharina Landgraf,Germany
Ricarda Lang,Germany
Simone Lange,Germany
Ina Latendorf,Germany
Silke Launert,Germany
Sibylle Laurischk,Germany
Caren Lay,Germany
Monika Lazar,Germany
Sylvia Lehmann,Germany
Sabine Leidig,Germany
Katja Leikert,Germany
Steffi Lemke,Germany
Vera Lengsfeld,Germany
Marlene Lenz,Germany
Eva Lettenbauer,Germany
Sabine Leutheusser-Schnarrenberger,Germany
Ursula von der Leyen,Germany
Antje Lezius,Germany
Luiza Licina-Bode,Germany
Anja Liebert,Germany
Andrea Lindholz,Germany
Karoline Linnert,Germany
Patricia Lips,Germany
Sylvia Löhrmann,Germany
Eva Lohse,Germany
Denise Loop,Germany
Helga Lopez,Germany
Hiltrud Lotze,Germany
Gesine Lötzsch,Germany
Heidi Lück,Germany
Christine Lucyga,Germany
Cornelia Lüddemann,Germany
Daniela Ludwig,Germany
Saskia Ludwig,Germany
Christa Luft,Germany
Bettina Lugk,Germany
Kirsten Lühmann,Germany
Anna Lührmann,Germany
Gudrun Lukin,Germany
Karin Maag,Germany
Tanja Machalet,Germany
Birgit Malsack-Winkemann,Germany
